,title,lat,lng,price,link,time,duration,address,neighborhood,points,obs,category,mail
961,Centr’Halles Park,48.86287,2.34592,0,404,404,01:30:00,"117 rue Rambuteau Forum des Halles, 75001 Paris France",Neighborhood: Les Halles,2,"#1,313 of 3,296 things to do in Paris",Sports Complexes,Visit websiteCall
962,Statue Minerve a la Chouette,48.84429,2.33594,0,/Restaurants-g187147-Paris_Ile_de_France.html,404,01:00:00,"Rue Auguste Comte Jardin du Luxembourg, 75006 Paris France",Neighborhood: 6th Arr. - Luxembourg,3,"#1,125 of 3,296 things to do in Paris",Monuments & Statues,
963,Statue de Strasbourg,48.86468,2.32056,0,/Restaurants-g187147-Paris_Ile_de_France.html,12:00 AM - 11:59 PM,01:00:00,"Place de la Concorde, 75008 Paris France",Neighborhood: Louvre / Palais-Royal,6,"#1,006 of 3,296 things to do in Paris",Monuments & Statues,
964,Statue equestre de Washington,48.864697,2.293879,0,404,404,01:00:00,"Place d'Iena, 75016 Paris France",Neighborhood: 16th Arr. - Passy,7,"#1,165 of 3,296 things to do in Paris",Monuments & Statues,Visit website
965,Fontaine Cite Trevise,48.87542,2.34706,0,/Restaurants-g187147-Paris_Ile_de_France.html,404,01:00:00,"Cite Trevise, 75009 Paris France",Neighborhood: 9th Arr. - Opéra,5,"#1,161 of 3,296 things to do in Paris",Fountains,
966,Square d'Ajaccio,48.85751,2.314844,0,404,404,01:30:00,"127 rue de Grenelle, 75007 Paris France",Neighborhood: Tour Eiffel / Invalides,5,"#1,039 of 3,296 things to do in Paris",Gardens,Visit website
967,Eglise Saint Charles de Monceau,48.88282,2.31244,0,404,404,01:00:00,"22 B rue Legendre, 75017 Paris France",Neighborhood: Plaine de Monceaux,6,"#1,605 of 3,296 things to do in Paris",Churches & Cathedrals,Visit website
968,Eglise Sainte Marie des Batignolles,48.88683,2.31757,0,404,404,01:00:00,"77 Pl du Docteur Felix Lobligeois, 75017 Paris France",Neighborhood: Batignolles,6,"#1,140 of 3,296 things to do in Paris",Churches & Cathedrals,Visit website
969,Emilio Robba,48.86666,2.33967,0,404,404,01:00:00,"29 Galerie Vivienne 29/33 Galerie Vivienne, 75002 Paris France",Neighborhood: Vivienne,6,"#1,061 of 3,296 things to do in Paris",Art Galleries,CallEmail
970,Sculpture Standing Woman,48.86263,2.325082,0,/Restaurants-g187147-Paris_Ile_de_France.html,404,01:00:00,"1 Jardin des Tuileries, 75001 Paris France",Neighborhood: Louvre / Palais-Royal,7,"#1,021 of 3,296 things to do in Paris",Monuments & Statues,
971,Ecole des danses latines tropicales,48.8501,2.38139,0,404,11:30 AM - 7:30 PM,01:30:00,"40 rue de Citeaux, 75012 Paris France",Neighborhood: Quinze-Vingts,27,"#474 of 3,296 things to do in Paris",Educational sites,Visit websiteCall
972,Stele en hommage aux Goumiers marocains,48.853615,2.31018,0,404,404,01:00:00,"1 Place Denys Cochin, 75007 Paris France",Neighborhood: Ecole-Militaire,4,"#1,188 of 3,296 things to do in Paris",Monuments & Statues,Visit website
973,La Comédie Saint-Michel,48.84456,2.33954,0,404,3:00 PM - 8:30 PM,01:30:00,"95 boulevard Saint Michel, 75005 Paris France",Neighborhood: 5th Arr. - Panthéon,25,"#1,279 of 3,296 things to do in Paris",Theaters,Visit websiteCall
974,Passage Vendôme,48.86617,2.36374,0,/RestaurantsNear-g187147-d10053198-Passage_Vendome-Paris_Ile_de_France.html,404,01:00:00,"16 rue Beranger, 75003 Paris France",Neighborhood: 3rd Arr. - Temple,11,"#2,339 of 3,296 things to do in Paris",Points of Interest & Landmarks,
975,Galerie d'art Carré d'artistes Paris 6 Saint Germain,48.853626,2.339066,0,http://www.carredartistes.com/,"11:00 AM - 1:00 PM, 2:00 PM - 8:00 PM",01:00:00,"66 rue St Andre des Arts, 75006 Paris France",Neighborhood: Monnaie,4,"#804 of 3,296 things to do in Paris",Art Galleries,Visit websiteCallEmail
976,Cathédrale Notre-Dame-du-Liban,48.844067,2.345288,0,404,404,01:00:00,"15-17 Rue d'Ulm, 75005 Paris France",Neighborhood: 5th Arr. - Panthéon,3,"#1,192 of 3,296 things to do in Paris",Churches & Cathedrals,Call
977,Monument au General Mangin,48.8509,2.31346,0,/Restaurants-g187147-Paris_Ile_de_France.html,404,01:00:00,"Place du President Mithouard, 75007 Paris France",Neighborhood: Ecole-Militaire,4,"#1,318 of 3,296 things to do in Paris",Monuments & Statues,
978,La statue d'Edouard VII,48.87117,2.32928,0,404,404,01:00:00,"Place Edouard VII, 75009 Paris France",Neighborhood: 9th Arr. - Opéra,7,"#907 of 3,296 things to do in Paris",Monuments & Statues,Visit website
979,Lafayette Anticipations,48.859222,2.354827,0,404,11:00 AM - 7:00 PM,01:30:00,"9 rue du Platre, 75004 Paris France",Neighborhood: Le Marais,11,"#1,427 of 3,296 things to do in Paris",Art Museums,Visit websiteCallEmail
980,La Statue La Loire Et Le Loiret,48.86263,2.325082,0,/Restaurants-g187147-Paris_Ile_de_France.html,404,01:00:00,"1 Jardin des Tuileries, 75001 Paris France",Neighborhood: Louvre / Palais-Royal,6,"#857 of 3,296 things to do in Paris",Monuments & Statues,
981,Fontaine de la Croix-du-Trahoir,48.86142,2.342424,0,404,404,01:30:00,"Rue de l'Arbre Sec Rue Saint-Honoré, 75001 Paris France",Neighborhood: Les Halles,6,"#2,362 of 3,296 things to do in Paris",Fountains,Visit website
982,Pierre-and-Marie-Curie University,48.84635,2.35504,0,404,404,01:30:00,"4 Place Jussieu, 75252 Paris France",Neighborhood: 5th Arr. - Panthéon,8,"#1,184 of 3,296 things to do in Paris",Points of Interest & Landmarks,Visit websiteCall
983,"La statue ""Tigresse apportant un paon à ses petits""",48.86263,2.325082,0,/Restaurants-g187147-Paris_Ile_de_France.html,404,01:00:00,"1 Jardin des Tuileries, 75001 Paris France",Neighborhood: Louvre / Palais-Royal,8,"#718 of 3,296 things to do in Paris",Monuments & Statues,
